日期,负荷值,湿度,能见度
2018/1/1 0:00,174.386,53,5.25
2018/1/1 1:00,167.047,58,5.128
2018/1/1 2:00,153.378,60,6.191
2018/1/1 3:00,158.485,63,7.518
2018/1/1 4:00,160.646,63,8.007
2018/1/1 5:00,151.398,62,7.96
2018/1/1 6:00,168.667,64,7.082
2018/1/1 7:00,173.284,65,6.874
2018/1/1 8:00,179.938,62,6.142
2018/1/1 9:00,164.388,56,5.773
2018/1/1 10:00,152.527,49,6.046
2018/1/1 11:00,148.375,35,10.27
2018/1/1 12:00,139.156,28,11.525
2018/1/1 13:00,132.906,27,12.811
2018/1/1 14:00,147.16,28,11.756
2018/1/1 15:00,151.069,28,11.69
2018/1/1 16:00,162.612,30,11.365
2018/1/1 17:00,175.211,34,10.334
2018/1/1 18:00,189.466,39,7.501
2018/1/1 19:00,180.737,45,8.382
2018/1/1 20:00,173.877,50,7.426
2018/1/1 21:00,168.71,52,8.994
2018/1/1 22:00,155.235,51,8.618
2018/1/1 23:00,150.568,56,8.277
2018/1/2 0:00,160.616,63,5.957
2018/1/2 1:00,158.544,68,5.839
2018/1/2 2:00,146.897,73,5.222
2018/1/2 3:00,150.162,75,5.335
2018/1/2 4:00,153.882,77,4.681
2018/1/2 5:00,160.21,79,4.394
2018/1/2 6:00,176.437,79,4.222
2018/1/2 7:00,194.845,75,2.115
2018/1/2 8:00,229.75,76,2.373
2018/1/2 9:00,236.756,77,2.23
2018/1/2 10:00,224.602,75,3.096
2018/1/2 11:00,222.052,72,3.576
2018/1/2 12:00,189.607,71,4.637
2018/1/2 13:00,182.975,70,12.171
2018/1/2 14:00,206.237,71,21.389
2018/1/2 15:00,222.854,72,31.58
2018/1/2 16:00,218.899,69,32.965
2018/1/2 17:00,217.347,69,31.699
2018/1/2 18:00,214.329,68,30.357
2018/1/2 19:00,210.93,65,35
2018/1/2 20:00,197.951,63,32.04
2018/1/2 21:00,190.303,65,35
2018/1/2 22:00,172.967,65,35
2018/1/2 23:00,165.894,64,35
2018/1/3 0:00,176.97,66,35
2018/1/3 1:00,170.372,67,35
2018/1/3 2:00,163.051,67,35
2018/1/3 3:00,165.282,65,35
2018/1/3 4:00,165.391,68,35
2018/1/3 5:00,160.702,76,7.312
2018/1/3 6:00,176.183,81,5.806
2018/1/3 7:00,189.965,79,10.255
2018/1/3 8:00,224.413,74,11.162
2018/1/3 9:00,226.667,69,24.806
2018/1/3 10:00,208.624,63,14.964
2018/1/3 11:00,195.717,53,26.323
2018/1/3 12:00,173.764,45,21.052
2018/1/3 13:00,195.566,36,31.079
2018/1/3 14:00,214.608,44,35
2018/1/3 15:00,235.397,61,31.566
2018/1/3 16:00,237.045,56,35
2018/1/3 17:00,242.81,58,35
2018/1/3 18:00,253.577,60,31.918
2018/1/3 19:00,246.697,62,30.03
2018/1/3 20:00,237.146,63,33.975
2018/1/3 21:00,225.715,64,25.919
2018/1/3 22:00,204.762,66,20.414
2018/1/3 23:00,192.955,67,18.206
2018/1/4 0:00,202.581,66,19.046
2018/1/4 1:00,195.852,68,15.479
2018/1/4 2:00,194.991,68,21.391
2018/1/4 3:00,184.14,70,26.678
2018/1/4 4:00,195.498,68,35
2018/1/4 5:00,202.845,67,35
2018/1/4 6:00,219.965,67,35
2018/1/4 7:00,245.473,69,21.092
2018/1/4 8:00,262.152,71,11.792
2018/1/4 9:00,272.542,69,7.322
2018/1/4 10:00,275.235,67,12.048
2018/1/4 11:00,273.594,58,32.801
2018/1/4 12:00,257.005,56,29.809
2018/1/4 13:00,257.121,53,29.833
