日期,负荷值1,负荷值2,负荷值3
2018/1/1 0:00,550.726,174.386,1237.043
2018/1/1 1:00,542.827,167.047,1203.112
2018/1/1 2:00,541.036,153.378,1290.686
2018/1/1 3:00,547.63,158.485,1274.446
2018/1/1 4:00,545.936,160.646,1289.123
2018/1/1 5:00,538.828,151.398,1297.453
2018/1/1 6:00,532.177,168.667,1277.226
2018/1/1 7:00,498.051,173.284,1201.286
2018/1/1 8:00,460.845,179.938,1207.659
2018/1/1 9:00,451.824,164.388,1216.236
2018/1/1 10:00,432.254,152.527,1114.167
2018/1/1 11:00,431.796,148.375,1185.242
2018/1/1 12:00,424.046,139.156,1196.078
2018/1/1 13:00,426.526,132.906,1189.433
2018/1/1 14:00,439.698,147.16,1106.231
2018/1/1 15:00,436.735,151.069,1150.365
2018/1/1 16:00,441.075,162.612,1119.359
2018/1/1 17:00,459.437,175.211,1220.389
2018/1/1 18:00,453.835,189.466,1180.267
2018/1/1 19:00,439.392,180.737,1208.923
2018/1/1 20:00,452.49,173.877,1252.304
2018/1/1 21:00,440.109,168.71,1153.32
2018/1/1 22:00,446.371,155.235,1139.521
2018/1/1 23:00,482.902,150.568,1170.805
2018/1/2 0:00,557.884,160.616,1216.741
2018/1/2 1:00,569.092,158.544,1197.833
2018/1/2 2:00,555.356,146.897,1147.943
2018/1/2 3:00,559.26,150.162,1131.478
2018/1/2 4:00,551.57,153.882,1152.505
2018/1/2 5:00,550.311,160.21,1172.189
2018/1/2 6:00,555.275,176.437,1270.243
2018/1/2 7:00,530.901,194.845,1243.858
2018/1/2 8:00,514.058,229.75,1403.298
2018/1/2 9:00,506.715,236.756,1447.378
2018/1/2 10:00,517.567,224.602,1472.342
2018/1/2 11:00,507.445,222.052,1424.982
2018/1/2 12:00,489.084,189.607,1447.361
2018/1/2 13:00,510.035,182.975,1399.803
2018/1/2 14:00,519.542,206.237,1369.765
2018/1/2 15:00,508.77,222.854,1316.353
2018/1/2 16:00,516.09,218.899,1384.492
2018/1/2 17:00,527.222,217.347,1404.942
2018/1/2 18:00,507.081,214.329,1310.4
2018/1/2 19:00,480.536,210.93,1339.265
2018/1/2 20:00,488.233,197.951,1362.281
2018/1/2 21:00,483.497,190.303,1267.631
2018/1/2 22:00,476.436,172.967,1249.666
2018/1/2 23:00,501.344,165.894,1185.256
2018/1/3 0:00,539.874,176.97,1328.065
2018/1/3 1:00,533.377,170.372,1291.651
2018/1/3 2:00,552.758,163.051,1292.077
2018/1/3 3:00,535.798,165.282,1198.427
2018/1/3 4:00,557.415,165.391,1235.861
2018/1/3 5:00,547.128,160.702,1311.847
2018/1/3 6:00,560.755,176.183,1403.879
2018/1/3 7:00,538.612,189.965,1360.893
2018/1/3 8:00,526.697,224.413,1382.085
2018/1/3 9:00,518.703,226.667,1506.156
2018/1/3 10:00,507.822,208.624,1432.507
2018/1/3 11:00,505.492,195.717,1449.104
2018/1/3 12:00,468.727,173.764,1308.519
2018/1/3 13:00,498.145,195.566,1241.645
2018/1/3 14:00,520.524,214.608,1321.914
2018/1/3 15:00,523.737,235.397,1400.642
2018/1/3 16:00,514.381,237.045,1479.774
2018/1/3 17:00,523.665,242.81,1421.312
2018/1/3 18:00,510.951,253.577,1433.736
2018/1/3 19:00,490.244,246.697,1356.796
2018/1/3 20:00,484.126,237.146,1399.724
2018/1/3 21:00,487.088,225.715,1408.522
2018/1/3 22:00,494.365,204.762,1323.679
2018/1/3 23:00,500.522,192.955,1377.503
2018/1/4 0:00,536.814,202.581,1343.333
2018/1/4 1:00,520.885,195.852,1423.813
2018/1/4 2:00,524.493,194.991,1314.197
2018/1/4 3:00,532.365,184.14,1330.43
2018/1/4 4:00,528.978,195.498,1354.526
2018/1/4 5:00,520.012,202.845,1300.87
2018/1/4 6:00,537.32,219.965,1438.523
2018/1/4 7:00,518.294,245.473,1375.131
2018/1/4 8:00,503.564,262.152,1396.512
2018/1/4 9:00,524.138,272.542,1486.145
2018/1/4 10:00,520.996,275.235,1411.331
2018/1/4 11:00,529.656,273.594,1453.285
2018/1/4 12:00,493.096,257.005,1395.818
2018/1/4 13:00,523.007,257.121,1396.889
2018/1/4 14:00,522.463,274.401,1497.17
2018/1/4 15:00,521.717,271.735,1469.872
2018/1/4 16:00,519.965,272.171,1545.044
2018/1/4 17:00,529.44,265.204,1454.143
2018/1/4 18:00,510.618,265.746,1404.636
2018/1/4 19:00,482.337,243.709,1432.539
2018/1/4 20:00,486.02,241.711,1371.68
2018/1/4 21:00,477.679,224.502,1338.549
2018/1/4 22:00,490.027,206.297,1387.158
2018/1/4 23:00,484.113,198.74,1374.671
2018/1/5 0:00,530.983,209.753,1448.568
2018/1/5 1:00,516.664,212.288,1348.594
2018/1/5 2:00,527.233,202.91,1326.112
2018/1/5 3:00,526.928,207.747,1324.682
2018/1/5 4:00,533.503,197.433,1302.922
2018/1/5 5:00,530.15,208.232,1302.107
2018/1/5 6:00,548.358,216.201,1348.868
2018/1/5 7:00,530.227,220.141,1371.491
2018/1/5 8:00,510.253,254.501,1366.084
2018/1/5 9:00,504.138,249.876,1362.075
2018/1/5 10:00,498.321,231.767,1438.919
2018/1/5 11:00,481.075,222.168,1402.76
2018/1/5 12:00,473.544,197.901,1289.697
2018/1/5 13:00,470.348,196,1336.905
2018/1/5 14:00,487.466,225.902,1320.216
2018/1/5 15:00,494.256,219.39,1296.778
2018/1/5 16:00,494.417,246.24,1368.57
2018/1/5 17:00,497.438,251.383,1390.189
2018/1/5 18:00,492.19,263.478,1322.557
2018/1/5 19:00,479.72,240.626,1375.165
2018/1/5 20:00,486.554,232.573,1348.667
2018/1/5 21:00,499.301,231.929,1327.76
2018/1/5 22:00,475.274,219.453,1377.889
2018/1/5 23:00,494.87,199.787,1323.131
2018/1/6 0:00,532.308,202.852,1410.11
2018/1/6 1:00,525.474,195.387,1324.797
2018/1/6 2:00,524.899,196.533,1311.642
2018/1/6 3:00,531.161,188.264,1297.117
2018/1/6 4:00,524.607,189.092,1248.422
2018/1/6 5:00,535.955,185.056,1194.683
2018/1/6 6:00,538.52,199.983,1287.13
2018/1/6 7:00,515.08,207.247,1217.26
2018/1/6 8:00,519.343,249.175,1384.01
2018/1/6 9:00,514.376,247.294,1360.749
2018/1/6 10:00,499.835,231.621,1492.284
